,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Site 7,Site 8,Site 9,Site 10,Porter Creek,Dutch Bill Creek,Willow Creek,Felta Creek,Mill Creek
Date Sampled,1-Dec-18,1-Dec-18,1-Dec-18,1-Dec-18,1-Dec-18,1-Dec-18,21-Nov-18,21-Nov-18,21-Nov-18,21-Nov-18,12-Oct-18,13-Oct-18,14-Oct-18,19-Oct-18,21-Oct-18
Comments,Top 0.5cm coarser with all fines beneath,Top 1.5cm coarser with all fines beneath,No notable size difference with depth,Top 1cm coarser with all fines beneath,No notable size difference with depth,Top 0.5cm coarser with mud beneath,Moved by inlet breach,Moved by inlet breach,,,,,,,128mm and above were embedded
Sizes (mm),Top of Berm at Goat Rock Beach,South of Inlet on Lagoon Side,South of Inlet on Ocean Side,High Tide Line at Goat Rock Beach,East Side of Berm in Estuary,Jenner at Public River Access,Inlet Bar Lagoon Side,Inlet Bar Ocean Side,Monte Rio,Guerneville,~0.5 km from main stem,~0.5 km from main stem,~0.5 km from main stem,~0.5 km from main stem,~0.5 km from main stem
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
362,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
256,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7
191,0,0,0,0,0,0,0,0,0,0,2,1,0,17,13
128,0,0,0,0,0,0,0,0,0,0,7,11,0,38,21
90.5,0,0,0,0,0,0,0,0,0,0,25,31,0,37,26
64,0,0,0,0,0,0,0,0,0,0,44,89,4,51,30
45.3,0,0,0,0,0,0,0,0,0,0,50,96,20,45,22
32,0,0,0,0,0,0,0,0,6,2,75,109,35,82,47
22.6,0,0,0,0,0,3,0,0,6,7,74,78,72,72,51
16,0,1,1,0,1,8,2,0,9,13,53,59,107,48,57
11.3,0,1,2,2,0,30,18,0,12,16,73,39,128,73,43
8,1,1,10,6,2,19,20,0,11,20,39,17,82,39,51
5.7,3,5,29,22,11,19,35,5,14,13,30,8,75,51,47
4,3,10,30,27,16,13,23,23,22,17,10,0,36,11,40
2.8,7,35,21,25,45,2,10,53,17,13,7,3,20,10,44
<2,86,66,16,18,38,11,3,21,6,12,8,2,29,24,28
